game,country,lat,long,Unnamed: 0,platform,year,Variable,playtime
Overwatch,South Korea,37.53,127.02,135897.0,XOne,2016.0,Other_Sales,0.1
Overwatch,South Korea,37.53,127.02,135898.0,PC,2016.0,Other_Sales,0.04
Overwatch,South Korea,37.53,127.02,152615.0,PS4,2016.0,Global_Sales,2.14
Overwatch,South Korea,37.53,127.02,152616.0,XOne,2016.0,Global_Sales,1.06
Overwatch,South Korea,37.53,127.02,152617.0,PC,2016.0,Global_Sales,0.53
Overwatch,South Korea,37.53,127.02,169334.0,PS4,2016.0,Critic_Score,90
Overwatch,South Korea,37.53,127.02,169335.0,XOne,2016.0,Critic_Score,91
Overwatch,South Korea,37.53,127.02,169336.0,PC,2016.0,Critic_Score,91
Overwatch,South Korea,37.53,127.02,186053.0,PS4,2016.0,Critic_Count,31
Overwatch,South Korea,37.53,127.02,186054.0,XOne,2016.0,Critic_Count,18
Overwatch,South Korea,37.53,127.02,186055.0,PC,2016.0,Critic_Count,62
Overwatch,South Korea,37.53,127.02,202772.0,PS4,2016.0,User_Score,6.1
Overwatch,South Korea,37.53,127.02,202773.0,XOne,2016.0,User_Score,5.6
Overwatch,South Korea,37.53,127.02,202774.0,PC,2016.0,User_Score,6.8
Overwatch,South Korea,37.53,127.02,219491.0,PS4,2016.0,User_Count,1358
Overwatch,South Korea,37.53,127.02,219492.0,XOne,2016.0,User_Count,668
Overwatch,South Korea,37.53,127.02,219493.0,PC,2016.0,User_Count,4052
Overwatch,South Korea,37.53,127.02,236210.0,PS4,2016.0,Developer,Blizzard Entertainment
Overwatch,South Korea,37.53,127.02,236211.0,XOne,2016.0,Developer,Blizzard Entertainment
Overwatch,South Korea,37.53,127.02,236212.0,PC,2016.0,Developer,Blizzard Entertainment
Overwatch,South Korea,37.53,127.02,252929.0,PS4,2016.0,Rating,T
Overwatch,South Korea,37.53,127.02,252930.0,XOne,2016.0,Rating,T
Overwatch,South Korea,37.53,127.02,252931.0,PC,2016.0,Rating,T
Call of Duty: Infinite Warfare,Spain,40.42,-3.7,51401.0,PS4,2016.0,Genre,Shooter
Call of Duty: Infinite Warfare,Spain,40.42,-3.7,51402.0,XOne,2016.0,Genre,Shooter
Call of Duty: Infinite Warfare,Spain,40.42,-3.7,51403.0,PC,2016.0,Genre,Shooter
Call of Duty: Infinite Warfare,Spain,40.42,-3.7,68120.0,PS4,2016.0,Publisher,Activision
Call of Duty: Infinite Warfare,Spain,40.42,-3.7,68121.0,XOne,2016.0,Publisher,Activision
Call of Duty: Infinite Warfare,Spain,40.42,-3.7,68122.0,PC,2016.0,Publisher,Activision
Call of Duty: Infinite Warfare,Spain,40.42,-3.7,84839.0,PS4,2016.0,NA_Sales,1.61
Call of Duty: Infinite Warfare,Spain,40.42,-3.7,84840.0,XOne,2016.0,NA_Sales,1.46
Call of Duty: Infinite Warfare,Spain,40.42,-3.7,84841.0,PC,2016.0,NA_Sales,0.04
Call of Duty: Infinite Warfare,Spain,40.42,-3.7,101558.0,PS4,2016.0,EU_Sales,2
Call of Duty: Infinite Warfare,Spain,40.42,-3.7,101559.0,XOne,2016.0,EU_Sales,0.74
Call of Duty: Infinite Warfare,Spain,40.42,-3.7,101560.0,PC,2016.0,EU_Sales,0.08
Call of Duty: Infinite Warfare,Spain,40.42,-3.7,118277.0,PS4,2016.0,JP_Sales,0.15
Call of Duty: Infinite Warfare,Spain,40.42,-3.7,118278.0,XOne,2016.0,JP_Sales,0
Call of Duty: Infinite Warfare,Spain,40.42,-3.7,118279.0,PC,2016.0,JP_Sales,0
Call of Duty: Infinite Warfare,Spain,40.42,-3.7,134996.0,PS4,2016.0,Other_Sales,0.71
Call of Duty: Infinite Warfare,Spain,40.42,-3.7,134997.0,XOne,2016.0,Other_Sales,0.22
Call of Duty: Infinite Warfare,Spain,40.42,-3.7,134998.0,PC,2016.0,Other_Sales,0.01
Call of Duty: Infinite Warfare,Spain,40.42,-3.7,151715.0,PS4,2016.0,Global_Sales,4.46
